iter	Passed	Remaining
470	672	755
471	673	753
472	675	752
473	676	751
474	678	749
475	679	747
476	680	745
477	681	744
478	682	742
479	683	740
480	684	738
481	685	736
482	686	735
483	687	733
484	688	731
485	689	729
486	690	727
487	692	726
488	693	724
489	694	722
490	695	720
491	696	718
492	697	717
493	698	715
494	699	713
495	700	711
496	701	709
497	702	707
498	703	705
499	704	704
500	705	702
501	706	700
502	707	699
503	708	697
504	709	695
505	710	693
506	712	692
507	713	691
508	714	689
509	715	687
510	716	685
511	717	683
512	718	682
513	719	680
514	720	678
515	721	676
516	722	675
517	723	673
518	724	671
519	725	669
520	726	667
521	727	666
522	728	664
523	729	662
524	730	660
525	731	659
526	732	657
527	733	655
528	734	653
529	735	652
530	736	650
531	737	648
532	737	646
533	739	645
534	740	643
535	741	641
536	742	639
537	743	638
538	744	636
539	745	634
540	746	632
541	746	631
542	747	629
543	748	627
544	749	626
545	750	624
546	751	622
547	752	620
548	753	619
549	754	617
550	755	615
551	756	614
552	757	612
553	758	610
554	759	608
555	760	607
556	761	605
557	762	603
558	763	601
559	764	600
560	764	598
561	765	596
562	766	595
563	767	593
564	768	591
565	769	590
566	770	588
567	772	587
568	773	585
569	774	584
570	775	582
571	776	581
572	779	580
573	780	578
574	781	577
575	782	575
576	783	574
577	784	572
578	785	571
579	786	569
580	787	567
581	788	566
582	789	564
583	790	563
584	791	561
585	793	560
586	794	559
587	795	557
588	796	555
589	797	554
590	798	552
591	799	550
592	800	549
593	801	547
594	802	546
595	803	544
596	804	543
597	805	541
598	806	539
599	807	538
600	808	536
601	809	535
602	810	533
603	811	532
604	812	530
605	813	528
606	814	527
607	815	525
608	816	524
609	817	522
610	818	521
611	819	519
612	820	517
613	821	516
614	822	514
615	823	513
616	824	511
617	825	510
618	826	508
619	827	507
620	828	505
621	829	504
622	830	502
623	831	501
624	832	499
625	833	498
626	834	496
627	835	494
628	836	493
629	837	491
630	838	490
631	839	488
632	840	487
633	841	485
634	842	484
635	843	482
636	844	481
637	845	479
638	846	478
639	847	476
640	848	475
641	849	473
642	849	471
643	850	470
644	851	468
645	853	467
646	854	465
647	855	464
648	855	462
649	856	461
650	857	459
651	858	458
652	859	456
653	860	455
654	861	453
655	862	452
656	863	450
657	864	449
658	865	447
659	865	446
660	867	444
661	867	443
662	868	441
663	869	440
664	870	438
665	871	437
666	872	435
667	873	434
668	874	432
669	875	431
670	876	429
671	877	428
672	878	426
673	879	425
674	880	423
675	881	422
676	882	421
677	883	419
678	884	418
679	885	416
680	886	415
681	887	413
682	888	412
683	889	411
684	890	409
685	891	408
686	892	406
687	893	405
688	894	403
689	895	402
690	896	401
691	897	399
692	899	398
693	899	396
694	900	395
695	901	393
696	902	392
697	903	391
698	904	389
699	905	388
700	906	386
701	907	385
702	908	383
703	909	382
704	910	381
705	911	379
706	912	378
707	913	376
708	913	375
709	914	373
710	916	372
711	917	371
712	918	369
713	919	368
714	920	366
715	921	365
716	922	363
717	922	362
718	923	361
719	924	359
720	926	358
721	926	356
722	927	355
723	928	354
724	929	352
725	930	351
726	931	349
727	932	348
728	933	347
729	934	345
730	935	344
731	936	342
732	937	341
733	938	340
734	939	338
735	940	337
736	941	336
737	942	334
738	943	333
739	944	331
740	945	330
741	946	329
742	947	327
743	948	326
744	949	324
745	950	323
746	951	322
747	952	320
748	953	319
749	954	318
750	955	316
751	956	315
752	957	313
753	957	312
754	958	311
755	959	309
756	960	308
757	961	307
758	962	305
759	963	304
760	964	302
761	965	301
762	966	300
763	967	298
764	968	297
765	969	296
766	970	294
767	971	293
768	972	292
769	973	290
770	974	289
771	975	287
772	975	286
773	976	285
774	977	283
775	978	282
776	979	281
777	980	279
778	981	278
779	982	277
780	983	275
781	984	274
782	985	273
783	986	271
784	987	270
785	988	269
786	989	267
787	990	266
788	991	265
789	992	263
790	993	262
791	993	261
792	994	259
793	995	258
794	996	257
795	997	255
796	998	254
797	999	253
798	1000	251
799	1001	250
800	1002	249
801	1003	247
802	1004	246
803	1005	245
804	1006	243
805	1007	242
806	1008	241
807	1008	239
808	1009	238
809	1010	237
810	1011	235
811	1012	234
812	1013	233
813	1014	231
814	1015	230
815	1016	229
816	1017	227
817	1018	226
818	1019	225
819	1020	223
820	1020	222
821	1021	221
822	1022	219
823	1023	218
824	1024	217
825	1025	216
826	1026	214
827	1027	213
828	1028	212
829	1030	211
830	1031	209
831	1032	208
832	1033	207
833	1034	205
834	1035	204
835	1036	203
836	1038	202
837	1039	200
838	1040	199
839	1041	198
840	1042	197
841	1043	195
842	1044	194
843	1045	193
844	1046	191
845	1047	190
846	1048	189
847	1049	188
848	1050	186
849	1052	185
850	1053	184
851	1054	183
852	1055	181
853	1056	180
854	1057	179
855	1059	178
856	1060	176
857	1062	175
858	1063	174
859	1064	173
860	1065	172
861	1067	170
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1073	164
867	1075	163
868	1077	162
869	1078	161
870	1080	160
871	1082	158
872	1084	157
873	1086	156
874	1089	155
875	1091	154
876	1093	153
877	1095	152
878	1097	151
879	1098	149
880	1100	148
881	1103	147
882	1105	146
883	1107	145
884	1109	144
885	1112	143
886	1115	142
887	1117	140
888	1119	139
889	1121	138
890	1123	137
891	1126	136
892	1128	135
893	1130	134
894	1132	132
895	1134	131
896	1136	130
897	1140	129
898	1143	128
899	1145	127
900	1146	125
901	1148	124
902	1150	123
903	1151	122
904	1152	121
905	1154	119
906	1155	118
907	1156	117
908	1158	115
909	1160	114
910	1162	113
911	1163	112
912	1164	111
913	1166	109
914	1168	108
915	1169	107
916	1170	105
917	1172	104
918	1174	103
919	1176	102
920	1177	101
921	1178	99
922	1180	98
923	1181	97
924	1183	95
925	1184	94
926	1185	93
927	1187	92
928	1189	90
929	1190	89
930	1192	88
931	1194	87
932	1196	85
933	1198	84
934	1199	83
935	1201	82
936	1205	81
937	1206	79
938	1208	78
939	1210	77
940	1211	75
941	1213	74
942	1215	73
943	1216	72
944	1217	70
945	1219	69
946	1221	68
947	1222	67
948	1230	66
949	1232	64
950	1233	63
951	1235	62
952	1237	61
953	1238	59
954	1240	58
955	1242	57
956	1244	55
957	1245	54
958	1247	53
959	1248	52
960	1250	50
961	1251	49
962	1252	48
963	1253	46
964	1255	45
965	1257	44
966	1258	42
967	1259	41
968	1261	40
969	1262	39
970	1263	37
971	1265	36
972	1266	35
973	1268	33
974	1271	32
975	1272	31
976	1274	29
977	1276	28
978	1278	27
979	1279	26
980	1281	24
981	1282	23
982	1284	22
983	1285	20
984	1287	19
985	1288	18
986	1290	16
987	1291	15
988	1293	14
989	1294	13
990	1296	11
991	1297	10
992	1299	9
993	1300	7
994	1301	6
995	1302	5
996	1303	3
997	1304	2
998	1306	1
999	1307	0
